subscription_id,customer_id,plan_type,monthly_fee,start_date,end_date,status
69,40,Standard,499,2024-06-07,2025-06-04,Active
70,780,Premium,699,2024-09-27,2024-12-16,Cancelled
71,993,Premium,699,2023-06-29,2023-09-12,Active
72,1026,Standard,499,2023-07-29,2023-09-08,Active
73,1889,Premium,699,2022-11-09,2023-05-28,Active
74,1525,Basic,299,2022-01-19,2022-08-14,Active
75,728,Premium,699,2022-11-06,2023-04-05,Cancelled
76,1027,Standard,499,2024-04-11,2024-06-11,Active
77,1800,Standard,499,2024-06-30,2024-08-14,Cancelled
78,1944,Standard,499,2022-08-19,2022-12-04,Active
79,805,Premium,699,2022-05-21,2022-08-03,Cancelled
80,1067,Premium,699,2023-09-20,2024-09-04,Active
81,855,Basic,299,2023-08-10,2023-11-26,Active
82,640,Premium,699,2022-12-04,2023-08-20,Active
83,424,Premium,699,2022-05-22,2023-04-14,Active
84,1639,Basic,299,2024-06-02,2024-09-10,Active
85,1445,Premium,699,2024-07-20,2024-10-27,Active
86,1862,Basic,299,2023-11-03,2024-09-17,Cancelled
87,651,Basic,299,2023-07-25,2024-05-22,Cancelled
88,243,Basic,299,2022-11-22,2023-03-06,Cancelled
89,1568,Standard,499,2024-06-20,2025-02-16,Cancelled
90,622,Standard,499,2024-02-03,2025-01-24,Cancelled
91,561,Basic,299,2024-03-08,2024-07-12,Active
92,379,Basic,299,2024-02-20,2025-01-28,Active
93,1241,Premium,699,2023-09-20,2024-02-15,Active
94,473,Premium,699,2022-01-27,2022-08-28,Active
95,1598,Standard,499,2022-05-18,2023-03-01,Cancelled
96,961,Premium,699,2023-10-28,2024-06-05,Active
97,794,Standard,499,2023-05-01,2023-08-09,Active
98,464,Basic,299,2023-02-23,2023-04-01,Cancelled
99,1947,Standard,499,2022-08-16,2022-12-27,Cancelled
100,136,Basic,299,2024-08-07,2025-04-18,Cancelled
101,1004,Premium,699,2022-11-29,2023-08-20,Cancelled
102,876,Standard,499,2024-03-05,2024-04-25,Active
103,1689,Standard,499,2024-01-08,2024-07-16,Active
104,1924,Premium,699,2023-08-09,2024-07-08,Active
105,1314,Premium,699,2024-03-16,2024-05-04,Active
106,925,Standard,499,2024-04-26,2024-06-16,Cancelled
107,504,Premium,699,2023-07-05,2024-02-22,Cancelled
108,81,Premium,699,2023-02-01,2023-11-22,Cancelled
109,1972,Basic,299,2022-07-14,2023-01-09,Active
110,1812,Standard,499,2024-03-03,2024-08-26,Active
111,866,Standard,499,2023-09-20,2023-11-16,Active
112,1851,Basic,299,2023-04-20,2024-04-14,Active
113,1480,Premium,699,2022-04-26,2022-08-26,Cancelled
114,1921,Premium,699,2023-07-14,2023-10-21,Active
115,663,Standard,499,2022-01-26,2022-05-27,Active
116,1837,Premium,699,2024-07-06,2024-11-16,Cancelled
117,185,Standard,499,2022-11-28,2023-11-25,Cancelled
118,1632,Basic,299,2024-01-06,2024-04-08,Active
119,1447,Standard,499,2023-10-12,2024-05-14,Active
120,1449,Standard,499,2024-01-15,2024-11-01,Active
121,328,Standard,499,2023-07-18,2024-02-27,Active
122,350,Standard,499,2023-08-03,2023-11-17,Active
123,297,Basic,299,2024-02-27,2024-04-23,Active
124,634,Premium,699,2024-02-27,2024-11-11,Active
125,371,Basic,299,2024-07-09,2024-10-14,Cancelled
126,8,Premium,699,2024-02-23,2024-07-31,Active
127,1020,Standard,499,2023-07-11,2023-08-12,Active
128,1011,Basic,299,2022-08-11,2023-07-08,Active
129,930,Standard,499,2023-03-29,2023-06-07,Active
130,14,Basic,299,2024-06-22,2025-04-28,Active
131,1288,Premium,699,2024-04-19,2024-09-02,Active
132,304,Basic,299,2023-10-31,2024-05-26,Active
133,1749,Basic,299,2023-11-15,2024-10-05,Cancelled
134,612,Standard,499,2024-07-31,2024-10-13,Active
135,854,Basic,299,2022-06-15,2022-12-07,Active
136,1417,Premium,699,2023-09-02,2024-07-21,Cancelled
137,364,Standard,499,2024-02-07,2024-12-29,Active
138,74,Basic,299,2024-02-26,2024-08-27,Active
139,1839,Standard,499,2024-04-19,2024-06-22,Cancelled
140,1728,Premium,699,2022-03-08,2022-09-03,Active
141,250,Premium,699,2024-05-30,2024-11-16,Active
142,848,Premium,699,2022-08-03,2022-12-18,Active
143,224,Premium,699,2024-01-18,2025-01-04,Active
144,180,Standard,499,2024-01-12,2024-12-16,Cancelled
145,1448,Standard,499,2023-03-14,2024-02-18,Cancelled
146,532,Premium,699,2023-08-12,2024-07-26,Active
147,266,Premium,699,2023-07-31,2024-05-10,Active
148,1295,Standard,499,2023-05-20,2023-09-19,Cancelled
149,477,Premium,699,2022-10-25,2023-03-03,Active
150,50,Standard,499,2023-10-03,2024-01-01,Cancelled
151,425,Premium,699,2023-03-01,2023-10-28,Active
152,717,Premium,699,2024-04-05,2025-03-27,Active
153,1312,Basic,299,2023-12-08,2024-05-30,Active
154,139,Standard,499,2022-11-04,2023-08-20,Active
155,1571,Basic,299,2022-04-27,2022-11-13,Active
156,1484,Premium,699,2023-09-23,2023-11-06,Cancelled
157,398,Standard,499,2024-05-03,2024-11-22,Cancelled
158,982,Standard,499,2024-03-27,2024-05-14,Active
159,987,Basic,299,2023-10-05,2024-06-26,Cancelled
160,1100,Standard,499,2023-04-19,2023-12-16,Cancelled
161,115,Premium,699,2022-11-03,2023-09-18,Cancelled
162,647,Premium,699,2023-07-03,2023-08-11,Active
163,1404,Standard,499,2024-03-29,2024-10-26,Active
164,306,Standard,499,2024-05-10,2024-06-24,Active
165,769,Premium,699,2023-07-02,2023-10-24,Active
166,798,Basic,299,2023-09-02,2023-11-30,Cancelled
167,1540,Standard,499,2023-12-24,2024-07-02,Cancelled
168,557,Standard,499,2022-03-30,2023-01-08,Cancelled
169,762,Standard,499,2024-04-29,2024-10-30,Active
170,620,Basic,299,2022-04-25,2022-12-02,Cancelled
171,1593,Basic,299,2024-07-24,2024-10-09,Active
172,52,Standard,499,2024-07-15,2025-04-27,Active
173,697,Standard,499,2024-01-21,2024-11-14,Active
174,671,Basic,299,2024-02-27,2024-05-17,Cancelled
175,1922,Premium,699,2023-11-24,2024-02-29,Active
176,75,Standard,499,2023-02-01,2023-11-25,Active
177,637,Basic,299,2023-12-05,2024-11-03,Cancelled
178,683,Standard,499,2024-06-29,2024-08-21,Active
179,1570,Premium,699,2024-02-03,2024-08-10,Active
180,1554,Standard,499,2023-10-17,2024-03-02,Active
181,395,Standard,499,2022-10-11,2023-08-09,Active
182,904,Premium,699,2022-05-01,2022-10-17,Active
183,561,Basic,299,2022-01-16,2022-12-30,Active
184,210,Basic,299,2023-07-10,2024-02-04,Active
185,556,Basic,299,2024-08-23,2025-02-14,Active
186,351,Basic,299,2022-11-15,2023-10-24,Cancelled
187,1108,Standard,499,2022-02-21,2022-05-28,Active
188,1850,Premium,699,2022-02-21,2022-05-16,Active
189,177,Standard,499,2023-02-06,2023-06-07,Cancelled
190,1826,Premium,699,2023-10-07,2024-06-21,Active
191,640,Standard,499,2024-04-17,2024-08-26,Cancelled
192,1374,Premium,699,2022-03-22,2022-12-15,Active
193,191,Premium,699,2023-04-25,2023-07-13,Active
194,1402,Premium,699,2023-12-29,2024-09-22,Active
195,1941,Basic,299,2022-05-28,2023-05-08,Active
196,745,Standard,499,2022-07-07,2023-01-22,Cancelled
197,1808,Standard,499,2023-04-10,2024-01-14,Active
198,974,Basic,299,2022-12-26,2023-09-27,Active
199,350,Standard,499,2024-02-26,2024-09-21,Active
200,261,Premium,699,2022-04-16,2022-12-09,Cancelled
201,1632,Basic,299,2022-11-30,2023-10-10,Active
202,1623,Standard,499,2023-06-30,2024-03-22,Active
203,847,Basic,299,2023-09-28,2024-02-29,Active
204,1995,Standard,499,2023-01-29,2023-04-02,Active
205,1667,Premium,699,2023-08-29,2024-05-05,Cancelled
206,892,Premium,699,2024-03-17,2024-10-08,Active
207,484,Basic,299,2023-11-10,2024-01-18,Cancelled
208,1458,Premium,699,2024-05-06,2025-02-09,Active
209,1221,Standard,499,2022-11-30,2023-10-10,Active
210,912,Basic,299,2022-11-12,2023-07-07,Active
211,223,Premium,699,2024-04-13,2025-03-14,Cancelled
212,777,Standard,499,2023-05-22,2024-05-16,Active
213,186,Basic,299,2024-04-16,2024-07-26,Cancelled
214,1850,Premium,699,2024-04-09,2024-05-09,Cancelled
215,1354,Basic,299,2023-04-09,2024-02-05,Active
216,1261,Premium,699,2023-04-03,2023-08-11,Active
217,1797,Standard,499,2022-11-03,2023-09-20,Cancelled
218,1392,Standard,499,2024-07-29,2025-04-07,Cancelled
219,1875,Standard,499,2022-04-02,2023-02-24,Active
220,1046,Standard,499,2024-05-17,2024-08-20,Cancelled
221,128,Standard,499,2024-07-11,2025-05-18,Cancelled
222,2,Premium,699,2023-07-28,2024-02-26,Active
223,578,Basic,299,2022-08-29,2023-05-07,Cancelled
224,808,Premium,699,2022-11-22,2023-07-05,Active
225,892,Premium,699,2022-08-05,2022-12-01,Active
226,386,Premium,699,2023-01-29,2023-08-31,Cancelled
227,316,Standard,499,2024-06-12,2024-09-14,Active
228,147,Premium,699,2022-01-17,2022-04-30,Cancelled
229,997,Premium,699,2023-03-24,2023-07-01,Active
230,1316,Standard,499,2024-05-30,2025-02-17,Cancelled
231,1425,Premium,699,2024-08-10,2025-04-14,Active
232,931,Premium,699,2023-03-11,2024-01-17,Cancelled
233,788,Standard,499,2022-08-20,2022-12-23,Active
234,16,Premium,699,2023-05-26,2023-10-24,Cancelled
235,552,Standard,499,2024-08-06,2025-06-11,Active
236,69,Basic,299,2023-08-05,2024-05-08,Cancelled
237,232,Premium,699,2023-05-09,2023-07-18,Active
238,1498,Premium,699,2024-05-29,2024-11-18,Active
239,161,Premium,699,2024-06-30,2025-06-07,Active
240,968,Premium,699,2024-01-30,2024-04-08,Active
241,1105,Premium,699,2022-11-16,2023-10-25,Active
242,704,Premium,699,2024-03-08,2024-04-12,Active
243,1050,Standard,499,2023-08-11,2024-02-26,Active
244,1968,Standard,499,2022-10-24,2023-02-16,Active
245,1891,Premium,699,2024-02-07,2024-08-10,Cancelled
246,1155,Standard,499,2022-03-04,2023-02-19,Active
247,347,Premium,699,2022-02-22,2022-08-20,Cancelled
248,1279,Basic,299,2022-10-21,2023-07-26,Active
249,1036,Basic,299,2024-05-21,2024-11-09,Active
250,1262,Standard,499,2022-10-09,2023-03-19,Active
251,229,Premium,699,2022-06-28,2023-05-26,Cancelled
252,1350,Standard,499,2023-01-14,2023-05-13,Active
253,1436,Basic,299,2023-05-12,2023-09-11,Cancelled
254,1766,Basic,299,2022-12-18,2023-03-01,Cancelled
255,1220,Basic,299,2024-05-07,2025-02-14,Cancelled
256,846,Standard,499,2022-09-01,2023-05-14,Cancelled
257,343,Basic,299,2023-08-15,2024-03-08,Active
258,542,Basic,299,2022-02-23,2022-06-18,Active
259,976,Standard,499,2023-05-03,2024-02-29,Active
260,1400,Premium,699,2023-02-04,2023-11-03,Active
261,1087,Standard,499,2022-01-13,2022-07-09,Cancelled
262,920,Standard,499,2023-11-26,2024-06-04,Cancelled
263,1399,Basic,299,2022-04-10,2023-02-06,Active
264,1959,Standard,499,2023-09-18,2024-09-15,Cancelled
265,687,Standard,499,2022-10-01,2022-12-20,Active
266,1197,Standard,499,2023-04-18,2023-09-18,Cancelled
267,1206,Basic,299,2023-06-17,2024-01-05,Active
268,369,Standard,499,2023-07-15,2023-08-19,Active
269,1704,Basic,299,2022-01-13,2022-09-10,Active
270,213,Premium,699,2023-04-02,2023-10-28,Active
271,581,Standard,499,2022-07-17,2022-09-02,Active
272,189,Basic,299,2024-08-19,2025-07-19,Active
273,1712,Basic,299,2024-08-31,2025-08-02,Active
274,1451,Basic,299,2022-03-30,2023-03-04,Active
275,1345,Premium,699,2023-08-03,2023-12-05,Cancelled
276,1425,Basic,299,2022-09-17,2023-03-16,Active
277,1918,Basic,299,2023-10-17,2024-07-05,Cancelled
278,567,Standard,499,2023-12-10,2024-06-22,Active
279,1599,Basic,299,2022-10-11,2022-12-11,Active
280,682,Basic,299,2022-09-22,2023-03-06,Active
281,143,Standard,499,2024-08-08,2024-12-18,Active
282,366,Premium,699,2023-05-19,2023-08-12,Active
283,1575,Standard,499,2022-08-12,2023-07-22,Active
284,1870,Standard,499,2024-01-03,2024-06-13,Active
285,150,Basic,299,2023-08-09,2024-01-14,Cancelled
286,39,Standard,499,2022-06-02,2023-06-01,Active
287,1911,Basic,299,2023-11-12,2024-06-28,Active
288,1434,Standard,499,2024-07-15,2025-03-02,Active
289,1056,Premium,699,2024-08-20,2025-05-28,Active
290,828,Premium,699,2024-03-10,2024-05-14,Active
291,7,Standard,499,2024-09-04,2025-06-07,Active
292,1097,Standard,499,2022-12-08,2023-06-11,Active
293,1295,Premium,699,2022-04-03,2022-11-06,Active
294,1968,Standard,499,2022-03-24,2022-12-14,Cancelled
295,594,Premium,699,2022-07-27,2022-11-24,Active
296,1982,Standard,499,2023-11-08,2024-03-14,Active
297,799,Basic,299,2023-10-08,2024-05-08,Active
298,1813,Premium,699,2023-03-25,2023-07-30,Active
299,396,Basic,299,2024-01-08,2024-12-06,Active
300,797,Basic,299,2024-03-22,2025-01-22,Active
301,1024,Premium,699,2024-09-15,2025-06-02,Cancelled
302,34,Basic,299,2022-12-14,2023-02-10,Active
303,1477,Basic,299,2023-02-20,2023-05-21,Active
304,1340,Premium,699,2023-06-20,2024-03-10,Cancelled
305,1783,Premium,699,2022-06-02,2023-04-24,Active
306,148,Basic,299,2024-01-24,2024-05-05,Active
307,40,Standard,499,2024-07-17,2025-06-28,Active
308,1437,Premium,699,2022-05-14,2022-06-20,Active
309,103,Standard,499,2024-04-20,2024-07-08,Active
310,350,Premium,699,2022-03-07,2022-05-30,Active
311,1219,Premium,699,2022-08-14,2022-10-15,Cancelled
312,873,Standard,499,2024-04-10,2024-12-01,Active
313,1999,Premium,699,2023-08-13,2024-06-17,Active
314,1714,Basic,299,2024-02-22,2024-04-15,Active
315,688,Basic,299,2022-05-04,2022-10-21,Active
316,851,Basic,299,2023-12-15,2024-07-21,Active
317,899,Basic,299,2024-08-05,2025-06-28,Active
318,205,Premium,699,2023-09-20,2024-04-29,Cancelled
319,33,Standard,499,2022-03-24,2022-04-26,Active
320,1897,Basic,299,2023-12-25,2024-12-22,Active
321,582,Standard,499,2023-12-12,2024-09-10,Active
322,423,Basic,299,2023-10-18,2024-04-03,Active
323,844,Basic,299,2024-08-18,2024-12-15,Active
324,78,Premium,699,2022-07-04,2023-04-15,Active
325,181,Premium,699,2024-04-26,2024-10-27,Active
326,10,Premium,699,2022-08-30,2023-01-05,Active
327,1086,Basic,299,2023-09-26,2024-04-28,Cancelled
328,1106,Premium,699,2022-08-13,2023-05-07,Cancelled
329,1351,Basic,299,2022-10-11,2022-12-07,Active
330,1632,Basic,299,2023-12-03,2024-08-31,Active
331,328,Premium,699,2024-08-02,2024-09-23,Active
332,746,Standard,499,2022-08-03,2023-04-12,Active
333,1264,Standard,499,2022-02-14,2022-05-08,Cancelled
334,1895,Premium,699,2022-06-30,2022-10-18,Cancelled
335,994,Premium,699,2022-04-29,2022-07-04,Cancelled
336,1478,Standard,499,2023-08-30,2024-07-21,Active
337,408,Premium,699,2023-11-25,2024-06-08,Active
338,226,Standard,499,2022-08-22,2022-11-10,Active
339,845,Basic,299,2023-01-20,2023-06-11,Active
340,1199,Standard,499,2022-02-25,2022-11-05,Active
341,1901,Premium,699,2023-04-11,2023-08-10,Active
342,280,Standard,499,2024-01-08,2024-05-16,Active
343,1998,Standard,499,2022-07-27,2023-02-13,Active
344,1418,Premium,699,2022-03-03,2022-08-23,Active
345,1745,Standard,499,2023-04-15,2023-12-15,Active
346,704,Basic,299,2024-06-26,2024-12-24,Active
347,1617,Premium,699,2024-09-02,2025-08-11,Cancelled
348,1184,Premium,699,2024-05-25,2024-10-19,Active
349,1756,Premium,699,2023-05-16,2023-10-03,Active
350,1715,Standard,499,2022-10-13,2022-11-19,Cancelled
351,1508,Basic,299,2022-09-11,2023-03-27,Active
352,456,Premium,699,2024-08-26,2024-12-10,Cancelled
353,1840,Basic,299,2023-03-04,2023-04-25,Active
354,964,Premium,699,2024-02-27,2024-12-11,Active
355,1088,Standard,499,2023-05-06,2023-07-25,Active
356,493,Basic,299,2023-07-26,2023-08-31,Active
357,833,Basic,299,2022-05-16,2022-12-15,Active
358,1327,Basic,299,2022-01-17,2022-10-19,Active
359,332,Premium,699,2023-04-16,2024-03-03,Cancelled
360,50,Standard,499,2023-04-20,2023-07-29,Cancelled
361,831,Basic,299,2024-03-19,2024-10-24,Active
362,1442,Premium,699,2022-01-02,2022-12-19,Active
363,1830,Premium,699,2022-12-07,2023-10-04,Active
364,873,Standard,499,2023-12-16,2024-11-23,Active
365,1628,Basic,299,2024-03-17,2024-05-27,Active
366,688,Premium,699,2024-08-12,2024-10-09,Active
367,1864,Premium,699,2023-01-08,2023-03-05,Active
368,749,Standard,499,2023-09-26,2023-11-15,Active
369,359,Premium,699,2023-07-27,2023-09-29,Active
370,1585,Basic,299,2022-05-22,2022-12-09,Active
371,233,Premium,699,2023-05-05,2024-03-27,Cancelled
372,1440,Basic,299,2024-02-11,2024-07-05,Active
373,1839,Standard,499,2023-05-31,2024-02-01,Active
374,130,Standard,499,2022-12-20,2023-09-07,Active
375,1079,Basic,299,2023-04-27,2024-02-23,Active
376,1092,Standard,499,2023-04-08,2024-03-20,Active
377,1379,Premium,699,2024-04-08,2024-06-10,Active
378,1811,Standard,499,2022-03-31,2022-06-10,Active
379,367,Standard,499,2024-09-08,2024-11-16,Active
380,566,Basic,299,2023-12-15,2024-03-29,Active
381,1792,Basic,299,2023-06-18,2024-06-03,Active
382,854,Premium,699,2023-07-09,2023-10-14,Active
383,861,Standard,499,2024-01-26,2025-01-20,Active
384,388,Basic,299,2022-01-23,2022-06-20,Cancelled
385,1065,Premium,699,2022-12-10,2023-08-07,Active
386,1343,Premium,699,2024-03-16,2024-09-29,Active
387,1364,Premium,699,2023-06-27,2024-05-02,Active
388,623,Premium,699,2022-05-16,2022-11-18,Active
389,533,Basic,299,2023-05-11,2023-12-17,Cancelled
390,1577,Basic,299,2022-06-01,2022-12-28,Active
391,1959,Basic,299,2023-09-26,2024-01-16,Cancelled
392,585,Basic,299,2024-09-23,2025-01-20,Cancelled
393,1419,Premium,699,2024-03-24,2024-07-10,Active
394,240,Basic,299,2022-11-21,2023-10-11,Active
395,534,Standard,499,2022-07-08,2022-11-20,Active
396,72,Premium,699,2022-11-21,2023-06-15,Active
397,919,Premium,699,2024-09-25,2025-01-16,Active
398,249,Basic,299,2023-02-19,2023-12-01,Cancelled
399,1942,Standard,499,2024-08-08,2025-02-17,Active
400,1987,Premium,699,2023-07-14,2024-04-28,Active
401,1445,Standard,499,2023-05-01,2023-10-26,Cancelled
402,1545,Premium,699,2023-11-14,2024-02-27,Cancelled
403,1493,Standard,499,2022-12-13,2023-03-10,Cancelled
404,1844,Basic,299,2022-05-23,2023-03-31,Active
405,51,Standard,499,2023-09-25,2024-02-14,Active
406,190,Standard,499,2022-02-26,2023-02-02,Active
407,1195,Premium,699,2022-08-16,2023-02-04,Active
408,172,Premium,699,2024-05-19,2025-02-01,Active
409,1962,Basic,299,2024-09-26,2025-07-15,Active
410,1005,Standard,499,2023-09-10,2024-08-14,Active
411,115,Premium,699,2023-01-05,2023-08-26,Active
412,1749,Standard,499,2023-01-14,2023-08-29,Active
413,583,Standard,499,2022-12-26,2023-07-01,Cancelled
414,1791,Premium,699,2022-03-31,2022-08-18,Cancelled
415,910,Premium,699,2023-03-02,2023-11-13,Active
416,1651,Premium,699,2024-09-20,2025-05-25,Cancelled
417,849,Basic,299,2024-05-05,2025-03-31,Active
418,295,Basic,299,2022-11-07,2023-08-07,Cancelled
419,1076,Standard,499,2022-03-09,2023-02-04,Cancelled
420,182,Basic,299,2023-02-24,2024-02-16,Cancelled
421,849,Basic,299,2023-07-24,2024-04-15,Cancelled
422,1547,Basic,299,2022-07-24,2022-11-26,Cancelled
423,593,Premium,699,2023-05-18,2023-07-08,Cancelled
424,619,Premium,699,2022-11-08,2023-08-17,Active
425,950,Basic,299,2022-01-28,2022-02-28,Active
426,615,Premium,699,2024-05-04,2025-04-24,Active
427,1340,Premium,699,2024-07-03,2024-12-27,Active
428,1008,Premium,699,2023-10-23,2024-03-26,Active
429,1567,Standard,499,2023-05-20,2023-07-23,Active
430,741,Premium,699,2023-05-08,2024-03-22,Active
431,529,Premium,699,2023-12-04,2024-09-02,Cancelled
432,1676,Basic,299,2023-01-18,2023-11-06,Cancelled
433,36,Standard,499,2022-06-16,2023-05-09,Active
434,655,Standard,499,2024-06-18,2024-09-25,Active
435,109,Standard,499,2023-01-05,2023-09-06,Active
436,1957,Standard,499,2022-02-19,2022-08-16,Active
437,1309,Basic,299,2023-06-11,2023-10-18,Cancelled
438,376,Basic,299,2023-09-06,2023-12-30,Active
439,1787,Standard,499,2024-04-26,2024-10-27,Active
440,1430,Premium,699,2023-01-07,2023-03-27,Active
441,721,Basic,299,2022-01-14,2022-04-24,Active
442,764,Standard,499,2023-02-26,2023-09-18,Cancelled
443,334,Basic,299,2022-08-12,2022-11-29,Active
444,1704,Basic,299,2024-03-25,2025-02-04,Active
445,1703,Premium,699,2024-05-16,2025-03-14,Cancelled
446,1439,Basic,299,2023-03-04,2023-11-24,Cancelled
447,239,Basic,299,2024-08-03,2024-09-10,Active
448,639,Premium,699,2023-01-07,2023-04-18,Cancelled
449,1823,Premium,699,2023-06-20,2024-01-11,Active
450,624,Basic,299,2024-02-02,2024-05-02,Active
451,1755,Premium,699,2022-05-26,2022-10-19,Active
452,430,Basic,299,2022-03-22,2022-11-24,Active
453,1606,Basic,299,2022-03-21,2022-04-29,Cancelled
454,1552,Standard,499,2022-02-13,2022-06-23,Active
455,1625,Premium,699,2023-06-10,2024-05-08,Active
456,244,Standard,499,2022-02-14,2022-04-18,Active
457,22,Basic,299,2024-03-12,2024-06-13,Cancelled
458,421,Premium,699,2024-07-11,2024-11-20,Active
459,720,Basic,299,2022-04-03,2022-07-16,Cancelled
460,1929,Standard,499,2024-08-29,2025-07-21,Active
461,329,Premium,699,2024-03-10,2025-02-16,Active
462,1168,Basic,299,2022-04-12,2023-03-04,Cancelled
463,1084,Basic,299,2024-01-03,2024-05-10,Cancelled
464,352,Premium,699,2022-01-05,2022-03-26,Cancelled
465,1886,Premium,699,2024-05-21,2025-02-18,Active
466,1208,Basic,299,2023-03-27,2023-06-19,Active
467,727,Standard,499,2023-03-11,2023-07-28,Active
468,835,Basic,299,2024-02-19,2024-08-27,Active
469,226,Premium,699,2022-05-20,2023-02-27,Cancelled
470,1444,Standard,499,2023-07-25,2023-09-13,Active
471,1012,Basic,299,2023-01-30,2023-07-24,Active
472,1508,Standard,499,2023-12-05,2024-08-18,Active
473,835,Standard,499,2024-05-25,2025-01-29,Active
474,143,Standard,499,2024-08-19,2025-03-25,Active
475,1381,Standard,499,2023-11-20,2024-02-11,Active
476,1071,Premium,699,2023-11-24,2024-02-05,Active
477,809,Standard,499,2023-12-13,2024-11-09,Cancelled
478,1519,Basic,299,2022-03-08,2022-10-10,Cancelled
479,694,Basic,299,2023-09-02,2024-04-25,Active
480,1717,Standard,499,2024-01-13,2024-10-24,Active
481,1462,Premium,699,2023-08-31,2024-02-16,Cancelled
482,1641,Premium,699,2024-08-23,2025-04-14,Active
483,1366,Premium,699,2024-08-30,2025-04-24,Cancelled
484,1048,Standard,499,2022-05-31,2023-02-17,Active
485,514,Standard,499,2023-05-25,2023-10-20,Active
486,276,Basic,299,2022-04-12,2022-06-08,Cancelled
487,1021,Premium,699,2022-01-28,2022-05-29,Active
488,1392,Standard,499,2022-06-06,2022-12-08,Active
489,198,Basic,299,2023-11-08,2024-08-30,Cancelled
490,1624,Standard,499,2022-07-26,2023-01-22,Active
